=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-09 17:48:40,579 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,582 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 739, 'pattern_bars': 14780, 'pattern_features': 0, 'forward_labels': 3695}
2026-07-09 17:48:40,590 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,594 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 740, 'pattern_bars': 14800, 'pattern_features': 0, 'forward_labels': 3700}
2026-07-09 17:48:40,602 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,605 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 741, 'pattern_bars': 14820, 'pattern_features': 0, 'forward_labels': 3705}
2026-07-09 17:48:40,615 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,618 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 742, 'pattern_bars': 14840, 'pattern_features': 0, 'forward_labels': 3710}
2026-07-09 17:48:40,628 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,631 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 743, 'pattern_bars': 14860, 'pattern_features': 0, 'forward_labels': 3715}
2026-07-09 17:48:40,640 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,643 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 744, 'pattern_bars': 14880, 'pattern_features': 0, 'forward_labels': 3720}
2026-07-09 17:48:40,651 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,654 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 745, 'pattern_bars': 14900, 'pattern_features': 0, 'forward_labels': 3725}
2026-07-09 17:48:40,666 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,670 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 746, 'pattern_bars': 14920, 'pattern_features': 0, 'forward_labels': 3730}
2026-07-09 17:48:40,680 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,684 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 747, 'pattern_bars': 14940, 'pattern_features': 0, 'forward_labels': 3735}
2026-07-09 17:48:40,692 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,696 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 748, 'pattern_bars': 14960, 'pattern_features': 0, 'forward_labels': 3740}
2026-07-09 17:48:40,705 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,709 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 749, 'pattern_bars': 14980, 'pattern_features': 0, 'forward_labels': 3745}
2026-07-09 17:48:40,718 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
