=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-09 18:32:59,278 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,284 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1392, 'pattern_bars': 27840, 'pattern_features': 0, 'forward_labels': 6960}
2026-07-09 18:32:59,295 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,300 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1393, 'pattern_bars': 27860, 'pattern_features': 0, 'forward_labels': 6965}
2026-07-09 18:32:59,310 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,315 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1394, 'pattern_bars': 27880, 'pattern_features': 0, 'forward_labels': 6970}
2026-07-09 18:32:59,326 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,330 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1395, 'pattern_bars': 27900, 'pattern_features': 0, 'forward_labels': 6975}
2026-07-09 18:32:59,340 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,344 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1396, 'pattern_bars': 27920, 'pattern_features': 0, 'forward_labels': 6980}
2026-07-09 18:32:59,356 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,356 | WARNING | application.bulk_hit_writer | skip hit at 2026-06-10: insufficient forward data after anchor 2026-06-10: need 20 bars, have 19
2026-07-09 18:32:59,359 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_KO.xlsx
2026-07-09 18:32:59,359 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-09 18:32:59,697 | INFO | infrastructure.bulk_grid_reader | Parsed 2513 bars from 10_Pattern_KO.xlsx
